,"Cat./Support ratio, % (at)","Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)","conc, M",pH,RHE vs V,"Time, h","Loading, μg/cm2","Add_carbon, %","Surface area of electrode, cm2","Flow rate CO2, ml/min","Av_volume, mkm^3",Ratio_sphere_volume,"Min_volume, mkm^3","Max_volume, mkm^3",1_efermi,1_density_atomic,1_total_magnetization_normalized_formula_units,1_energy_above_hull,1_energy_per_atom,1_volume,1_band_gap,2_efermi,2_density_atomic,2_total_magnetization_normalized_formula_units,2_energy_above_hull,2_energy_per_atom,2_volume,2_band_gap,Product_exactmw,Product_lipinskiHBA,Product_lipinskiHBD,Product_NumAtoms,Product_FractionCSP3,Product_CrippenClogP,Product_hallKierAlpha,Product_kappa2,Product_kappa3,anion_molar_conductance,anion_mobility,anion_diffusion_coefficient,anion_hydr_R_of_ion,Type of reactor_H-cell,Base_carbon paper electrode,Base_gasdiffusion electrode,FE
0,98.85,20.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,2.94,0.0,100.0,1.0,6.9,-1.15,1.0,1052.63,9.09,0.2,200.0,0.6167632874666666,0.6366197723675814,0.2077352141666666,1.3628349599666665,4.72796063,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,6.47640097,34.02582510892988,0.0001557,0.050300225,-58.45197352,68.05165021785976,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,53.334630722420115
1,84.48,217.5,3090.91,3372.73,4000.0,3090.91,3372.73,4000.0,85.0,0.0,100.0,1.0,6.9,-1.25,1.0,400.0,20.0,0.19,25.0,11.30364441910101,0.5626976975981914,8.700272179509907,18.856180831641268,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,6.47640097,34.02582510892988,0.0001557,0.050300225,-58.45197352,68.05165021785976,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,52.34885878831991
2,14.95,108.0,459.5,810.75,1162.0,459.5,810.75,1162.0,95.0,95.1,4.9,2.0,14.0,-1.2,1.0,200.0,0.0,3.75,10.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,7.51858683,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,5.87177732,9.17091681388321,2.0000001,0.0,-6.5821341425,18.34183362776642,2.300899999999999,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,20.21,5.192,0.472,1.0,1.0,0.0,50.12226874626165
3,52.67,0.0,100.0,150.0,200.0,3000.0,4000.0,5000.0,0.0,0.0,100.0,1.0,14.0,-1.3,1.0,195.0,12.17,4.0,25.0,0.0706858347057703,0.0561710095178655,0.0235619449019234,0.1570796326794896,4.72796063,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,8.41138892,15.301856264076596,2.0000001,0.079304169250001,-9.032503662,76.50928132038298,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,20.21,5.192,0.472,0.0,1.0,0.0,48.17440893733896
4,14.95,108.0,459.5,810.75,1162.0,459.5,810.75,1162.0,95.0,69.98,0.0,3.0,14.0,-1.2,1.0,200.0,0.0,3.75,10.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,5.87177732,9.17091681388321,2.0000001,0.0,-6.5821341425,18.34183362776642,2.300899999999999,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,20.21,5.192,0.472,0.0,0.0,0.0,47.335846230030526
5,14.95,108.0,459.5,810.75,1162.0,459.5,810.75,1162.0,95.0,72.21,0.0,1.0,8.32,-1.2,1.0,200.0,0.0,3.75,10.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,4.353,1.118,2.193,0.0,0.0,0.0,45.69399310986806
6,40.0,3.6,3090.91,3372.73,4000.0,3090.91,3372.73,4000.0,0.0,81.66,18.34,1.0,14.0,-1.29,1.0,200.0,20.0,3.75,5.5,11.30364441910101,0.5626976975981914,8.700272179509907,18.856180831641268,4.72796063,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,5.84744474,18.14473805188449,0.0,0.0,-50.58496015,18.14473805188449,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,20.21,5.192,0.472,0.0,1.0,0.0,45.66541254984491
7,5.1,217.5,923.08,1036.92,1153.85,923.08,1036.92,1153.85,62.02,96.55,3.45,1.0,8.32,-1.2,1.0,1214.77,0.0,0.2,30.0,1.1148995843498883,0.3675525969478614,0.7865349476821121,1.5362010696916246,4.17791244,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,2.1667273,8.701897716280333,0.9999901,0.097853067499997,-5.204359017,87.01897716280334,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,0.0,45.32162338085887
8,5.1,217.5,923.08,1036.92,1153.85,923.08,1036.92,1153.85,62.02,95.0,5.0,1.0,6.9,-1.2,1.0,1214.77,0.0,0.2,30.0,1.1148995843498883,0.3675525969478614,0.7865349476821121,1.5362010696916246,4.17791244,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,7.67,1.97,1.245,1.0,0.0,1.0,45.2507783461481
9,14.95,108.0,459.5,810.75,1162.0,459.5,810.75,1162.0,95.0,0.0,5.0,1.0,6.9,-1.2,1.0,200.0,0.0,3.75,10.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,5.05743538,13.619880499307335,0.0,0.0,-9.204800156666666,40.85964149792201,1.8647,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,43.95346801079322
10,14.95,108.0,459.5,810.75,1162.0,459.5,810.75,1162.0,95.0,0.0,5.0,1.0,6.9,-1.2,1.0,200.0,0.0,3.75,10.0,0.532918592296875,0.3675525969478614,0.097018944875,1.568983528,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,5.05743538,13.619880499307335,0.0,0.0,-9.204800156666666,40.85964149792201,1.8647,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,1.0,0.0,43.95346801079322
11,23.04,18.63,100.0,150.0,200.0,3000.0,4000.0,5000.0,0.0,0.0,100.0,1.0,8.32,-0.93,1.0,300.0,80.0,1.0,40.0,0.0706858347057703,0.0561710095178655,0.0235619449019234,0.1570796326794896,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,2.03846677,22.399498167675635,0.0,0.0,-4.169303585,44.79899633535127,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,1.0,42.56942647114721
12,34.5,3.6,240.52,320.1,379.08,53.59,82.86,99.35,0.0,0.0,100.0,0.1,6.8,-0.92,1.0,101.91,0.0,3.75,40.0,-0.004808654716248,-0.1379567653389399,-0.001685654720295,-0.008102333717575,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,5.49246722,16.727671246666244,1.666666666666666e-08,0.000130182499997,-9.718071849166668,200.7320549599949,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,4.353,1.118,2.193,0.0,0.0,0.0,42.270784388972686
13,84.72,3.6,805.0,1204.0,1603.0,961.7,1276.4,1591.1,41.08,58.92,0.0,1.0,6.9,-1.15,1.0,1020.41,0.0,0.5,10.0,0.6167632874666666,0.6366197723675814,0.2077352141666666,1.3628349599666665,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,2.1667273,8.701897716280333,0.9999901,0.097853067499997,-5.204359017,87.01897716280334,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,0.0,0.0,41.46368073821335
14,84.72,3.6,805.0,1204.0,1603.0,961.7,1276.4,1591.1,41.08,58.92,0.0,1.0,6.9,-1.15,1.0,1020.41,0.0,0.5,10.0,0.6167632874666666,0.6366197723675814,0.2077352141666666,1.3628349599666665,7.51858683,11.445998564977856,2e-07,0.0,-10.846796,11.445998564977856,0.0,2.1667273,8.701897716280333,0.9999901,0.097853067499997,-5.204359017,87.01897716280334,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,76.4,7.67,1.97,1.245,1.0,0.0,0.0,41.46368073821335
15,82.52,20.0,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,97.06,0.0,1.0,6.9,-1.11,1.0,195.0,20.0,0.2,15.0,3.269211656602929,1.0,1.081422671753728,7.322700372283304,4.17791244,11.121387926358748,0.0006916,0.000264654999999,-5.466114125,44.485551705434986,0.0,8.41138892,15.301856264076596,2.0000001,0.079304169250001,-9.032503662,76.50928132038298,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,199.1,7.67,1.97,1.245,1.0,0.0,1.0,41.396865336499175
16,6.98,20.0,634.8,938.05,1241.3,634.8,938.05,1241.3,27.79,72.21,0.0,0.1,6.8,-1.1,1.0,1052.63,9.09,0.19,5.5,0.2872872552433975,0.664721574094151,0.0890326194307601,0.6656848342245473,4.17791244,12.764484711878117,0.0,0.0,-5.02663022,76.5869082712687,0.512699999999999,5.05743538,13.619880499307335,0.0,0.0,-9.204800156666666,40.85964149792201,1.8647,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,0.0,41.218686954368245
17,5.1,217.5,923.08,1036.92,1153.85,923.08,1036.92,1153.85,62.02,37.98,0.0,0.1,6.8,-1.2,1.0,1214.77,0.0,0.2,30.0,1.1148995843498883,0.3675525969478614,0.7865349476821121,1.5362010696916246,4.17791244,14.062218170221124,6.499999999999999e-07,0.0,-8.74505382,84.37330902132675,0.0,4.47959619,15.02799459406926,0.3851734,0.0,-22.96045361,15.02799459406926,0.0,28.031300128,0.0,0.0,6.0,0.0,0.8022,-0.26,0.74,-6.106153846153846,44.5,4.353,1.118,2.193,0.0,0.0,1.0,41.195484295680174
